mix,time_point,carbon,bio_rep,strain,count,total,treatment
E,68,YTSS,2C,EE36,1000000,4000000,none
E,68,YTSS,3A,Y4I,0,0,none
E,68,YTSS,3A,SE45,0,0,none
E,68,YTSS,3A,E37,0,0,none
E,68,YTSS,3A,ISM,0,0,none
E,68,YTSS,3A,EE36,0,0,none
E,68,YTSS,3B,Y4I,2000000,3000000,none
E,68,YTSS,3B,SE45,1000000,3000000,none
E,68,YTSS,3B,E37,0,3000000,none
E,68,YTSS,3B,ISM,0,3000000,none
E,68,YTSS,3B,EE36,0,3000000,none
E,68,YTSS,3C,Y4I,0,2000000,none
E,68,YTSS,3C,SE45,2000000,2000000,none
E,68,YTSS,3C,E37,0,2000000,none
E,68,YTSS,3C,ISM,0,2000000,none
E,68,YTSS,3C,EE36,0,2000000,none
